Tweet,Replies,Reposts,Likes,Bookmarks,Posted,Username,UserDescription,UserProfessionalCategory,UserUrl,UserJoinDate
"I’m just sitting here smiling. I look like a big dumb kid.
My oldest says. 
“Why are you smiling like that, dad?”

Its so hard to explain being a fan. But you know it when you see it. 

Thanks to @Rangers for giving us this. 

Little kid from East Dallas in me is grateful.",19.0,57.0,781.0,1.0,2023-10-24T04:03:42.000Z,Cory Mageors@inthemageors,Sports fan lucky to follow it as a job. On The K&C Masterpiece on 105.3 The Fan (opinions are mine) East Dallas raised #UNT Grad Father of 3 Husband to 1,,,Joined June 2010
Your team is 12-4. Shut up and enjoy the record.,45.0,58.0,735.0,46813.0,2022-12-30T04:22:58.000Z,Cory Mageors@inthemageors,Sports fan lucky to follow it as a job. On The K&C Masterpiece on 105.3 The Fan (opinions are mine) East Dallas raised #UNT Grad Father of 3 Husband to 1,,,Joined June 2010
We still have a journey ahead of us. We will still meet speed bumps and fallen trees along the way. Hopefully we can save a turtle here and there. But this is what I have been doing this week. Thank you all for being there for me. #LoveLucy,111.0,55.0,700.0,3.0,2019-02-16T02:49:30.000Z,Cory Mageors@inthemageors,Sports fan lucky to follow it as a job. On The K&C Masterpiece on 105.3 The Fan (opinions are mine) East Dallas raised #UNT Grad Father of 3 Husband to 1,,,Joined June 2010
Coming up now @1053thefan our good friend @SlaterNFL from @nflnetwork,18.0,26.0,600.0,,2020-01-09T18:19:11.000Z,Cory Mageors@inthemageors,Sports fan lucky to follow it as a job. On The K&C Masterpiece on 105.3 The Fan (opinions are mine) East Dallas raised #UNT Grad Father of 3 Husband to 1,,,Joined June 2010
My mom started a gofundme in hopes of raising some money to build a Dialysis Center in the Democratic Republic of Congo. Any donations help and please feel free to share it with others as well. https://gofund.me/08d04b3a,1.0,1.0,950.0,,2023-07-10T03:18:13.000Z,oliver konteh@forzarevilo,"Played some pro soccer in France, moved back to Ohio-LA and enjoying life one day at a time, no matter what it brings. Joga Bonito!  RetroToledo","Sports, Fitness & Recreation",instagram.com/oliverkonteh/,Joined May 2010
Letsgooo  #GTAVBMX @RockstarGames,100.0,533.0,4972.0,28.0,2020-06-17T04:48:50.000Z,FishyDizzle@FishyDizzle,Gaming. Jordans. Washed YouTuber.,,youtube.com/user/FishyDizz…,Joined December 2013
Episode 10 of @CloudDialogues is out now where @georgia2210 and I discuss serverless operating models with none other than @JoeEmison!  Joe reveals he has a blissful absence of operational headaches and the secret sauce of nurturing fresh talent! #podcast,1.0,6.0,488.0,,2024-03-19T21:43:30.000Z,Matt Gillard@mattgillard,"co-host http://cloud-dialogues.com #serverless AWS Community Builder, AWS Ambassador, Cloud Strategy, DevOps, @SLSDaysANZ - opinions mine,  @cevoaustralia",,medium.com/@mattgillard,Joined February 2008
Watch that video the link OF the video is :https://m.youtube.com/watch?v=0Sx0Nj6oEyA&t=1s…. It is mine on youtube,1.0,,,,2020-01-29T10:47:54.000Z,LION KING XTRA@KingXtra,LION KING XTRA,,,Joined January 2020
"you go to the back porch, pour a bourbon, fire up a cigar and watch the sunset and get on with your life",12.0,6.0,67.0,,2019-06-24T19:13:37.000Z,Col Alois Hammer@andyinsdca,"Maximizer/Strategic/Learner/Adaptability/Activator. (Gallup Strengths). Stay joyful, my friends. #SNBI. Hanlon's Razor was never true.",,andyinsdca.blogspot.com,Joined June 2008
"""Fascinating and Exciting Story"" 5
""Keep me on my toes"" 5
""Well Done"" 4
""Good sci-fi thriller"" 5
""Solid Read"" 5

Read _Shift now. https://buff.ly/2B9JPXR
#sciencefiction #bookworm #scifibooks #thriller #indieauthor #indiepub #SciFiFri",1.0,47.0,43.0,,2017-11-26T03:54:01.000Z,Brian Q. Webb (维博恩)   @BrianQWebb,Struggling SciFi wordsmith & author of _Shift. _Shift is a science fiction thriller in the vein of Crichton & Suarez with a touch of  Lovecraft. http://amzn.to,,amwriting.xyz,Joined August 2014
You know you've peaked as a Canadian when you can punch in the code in the numerical lock with your mittens on.,4.0,2.0,28.0,1.0,2023-01-14T03:55:39.000Z,Linds@Cheekster82,CNA,,,Joined December 2021
,1348.0,,,,2024-01-20T09:20:11.000Z,𝙿𝚛𝚒𝚗𝚌𝚎𝚜𝚊@djcaliphoria,Always missing Cebu,,,Joined May 2009
"Mum: *at 7am* IzzIE WAKE UP ITS TIME TO GET READY FOR SCHOOL 

Me:",6.0,,,,2014-11-10T20:45:54.000Z,Selfish Machine@Dizzie428,"Band obsesser, tree climber and hair dye enthusiast I love to pun okay",,…er-than-gaskarths-eyebrows.tumblr.com,Joined November 2011
Hey Tweeps! My son and I are raising funds for @2ndharvest our favorite organization. Please support our effort if you can. Thank you! https://impact.shfb.org/fundraiser/3575909…,1.0,3.0,,,2021-11-03T18:15:49.000Z,Marian Williams@wyguymom,"Social media consultant, wine drinker, lacrosse Mom. Currently, working in academia. I care about a lot of things, but delight in the ridiculous.",,,Joined November 2011
فرحانة جدا بالصورة ومش قادرة ارفع عيني من عليها  واخيرا بعد المدة دي كلها @MoSalah مسك رسمتي بايده وشافها وبعتلي صورتها  صلاح انت مش مدرك الناس بتحبك اد ايه ومهما تخيلت برضه مش هتعرف بنحبك اد ايه ربنا يفرحك زي ما فرحتني :),3.0,,,,2019-06-12T17:43:14.000Z,maha mohamed@Drmaha_mohamed,"The ones who notice the storms in ur eyes, the silence in ur voice & the heaviness in ur heart are the ones u need to let in!
TWD, Liverpool, WWE DX MRAVIP",,,Joined March 2012
"Only those who serve with justice are able to protect!
→RP Zonic The Zone Cop
→Not new to RP",10.0,1.0,,,2017-12-09T02:10:29.000Z,Zonic The Zone Cop@ZonicZoneCop,,,,Joined November 2017
Come join us on Sunday! Sign up on Eventbrite to make care packages for the homeless. Eventbrite link: http://dbplacarepackagesevent.eventbrite.com #dbpla,3.0,1.0,,,2016-10-21T01:00:01.000Z,Beta Ray Bree@Slim_Carey,"I jazz walked out the womb, ready to eat all the fruit snacks. Tea enthusiast. CSUSB Grad. Rose Nylund + Maxine Shaw + Ducky = me.",,,Joined June 2010
"Ugotavljam, da je Golob v svojem mandatu speljal le dve resni reformi:
1. Reformo svoje frizure
2. Reformo svojega zakona

Se opravičujem za rumenost tega posta ampak to je to, kar imamo. Zelo bm vesel, če me kdo z argumenti popravi.",44.0,170.0,828.0,3.0,2024-01-31T15:02:36.000Z,Marko Pavlišič@MarkoPavlisic,"inženir, amaterski kolesar, nekoč jeanmark.",,imedi.si/blog/jeanmark,Joined May 2009
"Vojno nekateri plačamo z višjo ceno bencina, drugi s porušeno hišo, izgubljenim otroštvom ali življenjem. Se še smilite sami sebi zaradi bencina?",29.0,140.0,763.0,,2022-03-08T19:36:28.000Z,Marko Pavlišič@MarkoPavlisic,"inženir, amaterski kolesar, nekoč jeanmark.",,imedi.si/blog/jeanmark,Joined May 2009
"Rogliča brez maske na touru vidiš le, ko je na kolesu. Odloži jo tik pred štartom in ponovno namesti takoj po prihodu v cilj. Bodi junak! Bodi kot @rogla!",13.0,121.0,635.0,,2020-09-15T16:10:04.000Z,Marko Pavlišič@MarkoPavlisic,"inženir, amaterski kolesar, nekoč jeanmark.",,imedi.si/blog/jeanmark,Joined May 2009
"Marjan,če ne bi odstopil,bi lahko pa ti šel.",49.0,72.0,607.0,,2022-03-15T19:46:14.000Z,Marko Pavlišič@MarkoPavlisic,"inženir, amaterski kolesar, nekoč jeanmark.",,imedi.si/blog/jeanmark,Joined May 2009
